code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_clicks,average_score,assessment_count,active_weeks
0,1,11391,1,0,1,10,2,0,240,0,2,934.0,82.0,5.0,27.0
0,1,28400,0,6,1,3,1,0,60,0,2,1435.0,66.4,5.0,34.0
0,1,30268,0,5,0,4,1,0,60,1,3,281.0,0.0,0.0,4.0
0,1,31604,0,7,0,6,1,0,60,0,2,2158.0,76.0,5.0,38.0
0,1,32885,0,11,2,6,0,0,60,0,2,1034.0,54.4,5.0,31.0
0,1,38053,1,10,0,9,1,0,60,0,2,2445.0,68.0,5.0,41.0
0,1,45462,1,6,1,4,0,0,60,0,2,1492.0,68.0,5.0,34.0
0,1,45642,0,5,0,10,0,0,120,0,2,1428.0,72.4,5.0,37.0
0,1,52130,0,0,0,8,0,0,90,0,2,1894.0,71.4,5.0,36.0
0,1,53025,1,4,4,0,2,0,60,0,2,3158.0,78.0,5.0,37.0
0,1,57506,1,8,2,8,1,0,60,0,2,1319.0,74.0,5.0,33.0
0,1,58873,0,0,0,3,0,0,60,0,2,1732.0,73.2,5.0,37.0
0,1,59185,1,0,2,7,1,0,60,0,2,1102.0,78.6,5.0,26.0
0,1,62155,0,5,1,6,0,0,60,0,2,3388.0,76.0,5.0,39.0
0,1,63400,1,6,2,5,1,0,60,0,2,2737.0,71.6,5.0,41.0
0,1,65002,0,0,0,8,0,0,60,0,3,176.0,67.0,4.0,9.0
0,1,70464,0,11,0,7,1,0,60,0,2,1053.0,55.6,5.0,28.0
0,1,71361,1,2,1,0,1,0,60,0,2,2327.0,80.4,5.0,37.0
0,1,74372,1,0,0,2,1,0,150,0,1,116.0,48.5,4.0,9.0
0,1,75091,1,9,0,4,1,0,60,0,2,2992.0,66.0,5.0,37.0
0,1,77367,1,1,0,4,0,0,60,0,2,680.0,70.4,5.0,31.0
0,1,91265,1,5,1,1,0,0,60,0,2,1494.0,70.8,5.0,38.0
0,1,94961,1,8,2,8,1,0,60,0,3,1240.0,65.33333333333333,6.0,33.0
0,1,98094,1,10,2,8,1,0,60,0,2,2839.0,60.6,5.0,33.0
0,1,100893,1,12,0,3,0,0,60,0,2,744.0,68.4,5.0,26.0
0,1,101781,1,8,2,9,1,0,60,0,2,4104.0,72.6,5.0,39.0
0,1,102806,1,5,0,4,0,0,60,0,2,1944.0,78.0,5.0,39.0
0,1,102952,1,3,1,7,0,0,60,0,2,1150.0,76.6,5.0,28.0
0,1,104476,1,2,4,0,1,0,60,0,2,4777.0,79.6,5.0,39.0
0,1,106247,1,8,1,9,1,0,60,0,3,465.0,60.0,3.0,15.0
0,1,106577,1,1,2,3,0,0,60,0,2,733.0,53.4,5.0,23.0
0,1,110175,1,0,1,9,1,0,60,0,2,998.0,63.4,5.0,32.0
0,1,111717,0,0,1,10,1,0,60,0,2,2343.0,81.0,3.0,37.0
0,1,113295,1,12,2,7,1,0,60,0,2,3553.0,77.6,5.0,39.0
0,1,114017,0,4,4,0,1,0,60,0,2,757.0,71.8,5.0,19.0
0,1,114999,1,12,1,7,1,0,60,0,2,1358.0,72.8,5.0,39.0
0,1,116541,1,10,1,1,0,0,60,0,2,1886.0,62.4,5.0,32.0
0,1,116692,1,0,0,8,1,0,60,0,2,1108.0,74.2,5.0,33.0
0,1,118983,1,1,1,4,0,0,120,0,2,284.0,61.8,5.0,15.0
