code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_clicks,average_score,assessment_count,active_weeks,AI_Resilience_Score,Resilience_Level,Recommended_Intervention
0,1,11391,1,0,1,10,2,0,240,0,2,934.0,82.0,5.0,27.0,51.82905032035448,Low,Mentoring and personalized study plan
0,1,28400,0,6,1,3,1,0,60,0,2,1435.0,66.4,5.0,34.0,50.008983759069736,Low,Mentoring and personalized study plan
0,1,30268,0,5,0,4,1,0,60,1,3,281.0,0.0,0.0,4.0,2.521981884602725,Very Low,Immediate counseling and academic support
0,1,31604,0,7,0,6,1,0,60,0,2,2158.0,76.0,5.0,38.0,56.67989452712521,Low,Mentoring and personalized study plan
0,1,32885,0,11,2,6,0,0,60,0,2,1034.0,54.4,5.0,31.0,43.18452512824919,Low,Mentoring and personalized study plan
0,1,38053,1,10,0,9,1,0,60,0,2,2445.0,68.0,5.0,41.0,55.42467466764347,Low,Mentoring and personalized study plan
0,1,45462,1,6,1,4,0,0,60,0,2,1492.0,68.0,5.0,34.0,50.68882300422089,Low,Mentoring and personalized study plan
0,1,45642,0,5,0,10,0,0,120,0,2,1428.0,72.4,5.0,37.0,54.14827726670316,Low,Mentoring and personalized study plan
0,1,52130,0,0,0,8,0,0,90,0,2,1894.0,71.4,5.0,36.0,53.492585220329694,Low,Mentoring and personalized study plan
0,1,53025,1,4,4,0,2,0,60,0,2,3158.0,78.0,5.0,37.0,57.59743330374667,Low,Mentoring and personalized study plan
0,1,57506,1,8,2,8,1,0,60,0,2,1319.0,74.0,5.0,33.0,52.386512051679325,Low,Mentoring and personalized study plan
0,1,58873,0,0,0,3,0,0,60,0,2,1732.0,73.2,5.0,37.0,54.68075324084262,Low,Mentoring and personalized study plan
0,1,59185,1,0,2,7,1,0,60,0,2,1102.0,78.6,5.0,26.0,50.005075904594335,Low,Mentoring and personalized study plan
0,1,62155,0,5,1,6,0,0,60,0,2,3388.0,76.0,5.0,39.0,58.120978850276586,Low,Mentoring and personalized study plan
0,1,63400,1,6,2,5,1,0,60,0,2,2737.0,71.6,5.0,41.0,57.0687634322774,Low,Mentoring and personalized study plan
0,1,65002,0,0,0,8,0,0,60,0,3,176.0,67.0,4.0,9.0,34.29842768847275,Very Low,Immediate counseling and academic support
0,1,70464,0,11,0,7,1,0,60,0,2,1053.0,55.6,5.0,28.0,41.93361883012128,Low,Mentoring and personalized study plan
0,1,71361,1,2,1,0,1,0,60,0,2,2327.0,80.4,5.0,37.0,57.976619045490516,Low,Mentoring and personalized study plan
0,1,74372,1,0,0,2,1,0,150,0,1,116.0,48.5,4.0,9.0,26.85649164094523,Very Low,Immediate counseling and academic support
0,1,75091,1,9,0,4,1,0,60,0,2,2992.0,66.0,5.0,37.0,52.681410238920535,Low,Mentoring and personalized study plan
0,1,77367,1,1,0,4,0,0,60,0,2,680.0,70.4,5.0,31.0,49.33710244783682,Low,Mentoring and personalized study plan
0,1,91265,1,5,1,1,0,0,60,0,2,1494.0,70.8,5.0,38.0,54.13580226782065,Low,Mentoring and personalized study plan
0,1,94961,1,8,2,8,1,0,60,0,3,1240.0,65.33333333333333,6.0,33.0,49.40034387481572,Low,Mentoring and personalized study plan
0,1,98094,1,10,2,8,1,0,60,0,2,2839.0,60.6,5.0,33.0,48.08889192237652,Low,Mentoring and personalized study plan
0,1,100893,1,12,0,3,0,0,60,0,2,744.0,68.4,5.0,26.0,45.67485748768013,Low,Mentoring and personalized study plan
0,1,101781,1,8,2,9,1,0,60,0,2,4104.0,72.6,5.0,39.0,57.26141568410499,Low,Mentoring and personalized study plan
0,1,102806,1,5,0,4,0,0,60,0,2,1944.0,78.0,5.0,39.0,57.911717973114264,Low,Mentoring and personalized study plan
0,1,102952,1,3,1,7,0,0,60,0,2,1150.0,76.6,5.0,28.0,50.40141544029076,Low,Mentoring and personalized study plan
0,1,104476,1,2,4,0,1,0,60,0,2,4777.0,79.6,5.0,39.0,60.53179835053868,Moderate,AI skill workshops and regular practice
0,1,106247,1,8,1,9,1,0,60,0,3,465.0,60.0,3.0,15.0,34.65307745803928,Very Low,Immediate counseling and academic support
0,1,106577,1,1,2,3,0,0,60,0,2,733.0,53.4,5.0,23.0,37.92298316578845,Very Low,Immediate counseling and academic support
0,1,110175,1,0,1,9,1,0,60,0,2,998.0,63.4,5.0,32.0,47.340758848569884,Low,Mentoring and personalized study plan
0,1,111717,0,0,1,10,1,0,60,0,2,2343.0,81.0,3.0,37.0,57.15637342006927,Low,Mentoring and personalized study plan
0,1,113295,1,12,2,7,1,0,60,0,2,3553.0,77.6,5.0,39.0,58.87630298097727,Low,Mentoring and personalized study plan
0,1,114017,0,4,4,0,1,0,60,0,2,757.0,71.8,5.0,19.0,42.974176189450624,Low,Mentoring and personalized study plan
0,1,114999,1,12,1,7,1,0,60,0,2,1358.0,72.8,5.0,39.0,55.422142575595466,Low,Mentoring and personalized study plan
0,1,116541,1,10,1,1,0,0,60,0,2,1886.0,62.4,5.0,32.0,47.5614123519772,Low,Mentoring and personalized study plan
0,1,116692,1,0,0,8,1,0,60,0,2,1108.0,74.2,5.0,33.0,52.31903695120755,Low,Mentoring and personalized study plan
0,1,118983,1,1,1,4,0,0,120,0,2,284.0,61.8,5.0,15.0,36.31799895275984,Very Low,Immediate counseling and academic support
0,1,123044,1,8,0,5,1,0,60,0,2,2041.0,71.4,5.0,35.0,53.01393318793492,Low,Mentoring and personalized study plan
0,1,127582,0,1,0,5,0,0,180,0,2,1321.0,69.6,5.0,30.0,48.88372387341862,Low,Mentoring and personalized study plan
0,1,129955,1,11,0,6,0,0,60,0,3,1888.0,81.0,6.0,22.0,49.724571017570305,Low,Mentoring and personalized study plan
0,1,132976,0,0,2,9,1,0,120,0,2,520.0,67.4,5.0,20.0,41.629924150554125,Low,Mentoring and personalized study plan
0,1,134143,0,7,0,10,1,0,60,0,0,2732.0,84.4,5.0,39.0,61.022478063975704,Moderate,AI skill workshops and regular practice
0,1,135335,0,0,2,3,0,0,180,0,3,73.0,0.0,0.0,7.0,4.120789633018949,Very Low,Immediate counseling and academic support
0,1,135400,0,7,2,10,1,0,60,1,3,610.0,53.142857142857146,7.0,22.0,38.224190348091255,Very Low,Immediate counseling and academic support
0,1,137873,1,9,0,5,1,0,60,0,2,5528.0,80.2,5.0,37.0,60.133907181083735,Moderate,AI skill workshops and regular practice
0,1,141355,0,1,0,4,0,0,240,0,2,1823.0,72.6,5.0,34.0,52.76017019974771,Low,Mentoring and personalized study plan
0,1,141377,1,9,0,10,0,0,345,0,3,756.0,48.833333333333336,6.0,19.0,34.32252487437278,Very Low,Immediate counseling and academic support
0,1,142326,0,4,0,6,1,0,60,0,2,2121.0,73.6,5.0,34.0,53.3684525691344,Low,Mentoring and personalized study plan
0,1,144801,0,8,1,9,1,0,60,0,2,5645.0,68.8,5.0,41.0,57.98126386911123,Low,Mentoring and personalized study plan
0,1,145130,1,9,1,7,0,0,120,0,2,452.0,54.4,5.0,22.0,37.54518732769736,Very Low,Immediate counseling and academic support
0,1,146188,0,11,0,3,0,0,60,1,1,597.0,50.0,5.0,18.0,33.560951380540025,Very Low,Immediate counseling and academic support
0,1,147756,1,4,2,7,0,0,120,0,1,1718.0,68.66666666666667,9.0,38.0,55.5818873214472,Low,Mentoring and personalized study plan
